id,name,setting,solution,level1,level2,order,problemset,ps_order
51,three-steps-forward,"{""fields"": ""b|b|b|b|b;k|k|k|k|k;k|k|k|k|k;k|k|kS|k|k""}",fff,1,1,1,1011,1
49,turning-right,"{""fields"": ""b|bM|b|b|bM;kA|k|kM|k|kA;k|kM|kA|k|k;kA|k|kS|k|kM""}",rff,1,2,1,1012,2
44,turning-left,"{""fields"": ""bM|b|b|bM|b;kA|k|kM|k|kA;k|k|kA|kM|k;kM|k|kS|k|kA""}",lff,1,2,2,1012,2
26,turning-right-and-left,"{""fields"": ""b|bM|b|bM|bA;k|kA|kA|k|kM;kA|kM|k|kM|kA;kM|k|kS|kM|k""}",frl,1,2,3,1012,2
2,turning-left-and-right,"{""fields"": ""b|bM|b|bM|b;kM|kA|k|kA|k;kA|k|kA|kM|kA;k|kM|kS|k|kM""}",lrf,1,2,4,1012,2
31,diamond-on-right,"{""fields"": ""b|bM|b|b|b;k|k|k|kA|k;kA|k|k|k|kD;k|kM|k|k|k;k|k|kS|k|kM""}",rrff,1,3,1,1013,3
14,beware-of-asteroid,"{""fields"": ""bM|b|bD|b|b;k|kM|kA|k|kA;kA|k|kD|kM|k;k|k|kS|k|kM""}",frl,1,3,2,1013,3
67,plus,"{""fields"": ""b|b|bD|b|b;k|k|kA|k|k;k|kA|kA|kA|k;k|k|kA|k|k;k|k|kS|k|k""}",rrll,1,3,3,1013,3
86,diamond-path,"{""fields"": ""b|b|b|bD|b;k|k|kD|k|k;k|kD|k|k|k;k|k|kD|k|k;k|k|k|kD|k;k|k|kD|k|k;k|k|kS|k|k""}",frllrr,1,3,4,1013,3
66,surrounded-diamond,"{""fields"": ""b|bA|bM|bM|b;kA|k|k|k|kA;k|k|kA|kM|k;k|kM|kD|k|k;k|kM|kA|k|kM;kA|k|kM|kA|k;kM|k|kA|k|k;k|k|kS|k|kM""}",rrlllfl,1,3,5,1013,3
10,shot,"{""fields"": ""b|bA|b|bA|b;k|kA|kM|kA|k;k|kA|k|kA|k;k|kA|kS|kA|k""}",fsf,2,1,1,1021,4
8,shooting,"{""fields"": ""bA|bA|bA|b|bA;kA|k|kA|kM|kA;kA|k|kA|kM|kA;kA|k|kA|k|kA;kA|k|k|k|kA;kA|k|kS|k|kA""}",rfssf,2,1,2,1021,4
12,wormhole-demo,"{""fields"": ""b|b|b|b|b;k|k|k|k|k;kW|k|kA|kA|kA;kA|kA|kA|k|kW;k|k|k|k|k;k|k|kS|k|k""}",rrff,2,2,1,1022,5
6,tunnel,"{""fields"": ""b|b|b|b|b;kA|kA|kM|kA|kA;kA|kA|kM|kA|kA;kA|kA|kM|kA|kA;k|kD|k|k|k;k|k|k|k|k;k|k|k|k|k;k|k|k|kD|k;k|k|k|k|k;k|k|kS|k|k""}",srlslrsff,2,3,1,1023,6
23,dont-forget-shot,"{""fields"": ""b|b|b|b|b;k|kM|kA|kA|kA;k|k|k|k|k;k|k|k|kD|k;k|k|k|k|k;k|k|k|k|k;k|k|k|k|k;k|k|kS|k|k""}",lsrrllf,2,3,2,1023,6
19,2diamonds-2meteorids,"{""fields"": ""b|b|b|b|b;kW|kA|kA|k|k;k|kD|kM|kA|kA;k|kD|kM|kA|kA;k|k|k|k|k;k|k|kS|k|kW""}",slflllsrf,2,3,3,1023,6
79,last-shot,"{""fields"": ""b|b|b|b|b;kM|kA|kM|kM|k;kM|k|kA|k|kM;k|kA|kM|kA|kM;k|k|kA|k|k;k|k|k|k|k;k|k|kS|k|k"", ""energy"": 1}",rrslrf,2,3,4,1023,6
11,ladder,"{""fields"": ""b|bA|bM|bA|b;k|kA|k|kA|k;k|kA|kM|kA|k;k|kA|k|kA|k;k|kA|kM|kA|k;k|kA|k|kA|k;k|kA|kM|kA|k;k|kA|k|kA|k;k|kA|kS|kA|k"", ""energy"": 4, ""length"": 3}",R4{fs},3,1,1,1031,7
1,diamonds-in-meteoroid-cloud,"{""fields"": ""b|b|b|b|b;k|k|k|kM|kD;k|k|k|kM|kM;k|k|kM|kD|kM;k|k|kM|kM|k;k|kM|kD|kM|k;k|kM|kM|k|k;kM|kD|kM|k|k;kM|kM|k|k|k;kS|k|k|k|k"", ""length"": 4}",R4{sr}f,3,1,2,1031,7
71,big-left-turn,"{""fields"": ""bA|bA|bA|b|bA;kA|kA|k|k|kA;kA|k|k|kA|kA;k|k|kA|kA|kA;k|kA|kA|kA|kA;k|kA|kA|kA|kA;k|k|kA|kA|kA;kA|k|k|kA|kA;kA|kA|k|k|kA;kA|kA|kA|kS|kA""}",R3{l}R3{f}R3{r},3,2,1,1032,8
70,big-right-turn,"{""fields"": ""b|bM|bA|bA|bA;kM|k|kM|kA|kA;kA|kM|k|kM|kA;kA|kA|kM|k|kM;kA|kA|kA|kM|k;kA|kA|kA|kM|k;kA|kA|kM|k|kM;kA|kM|k|kM|kA;kA|kS|kM|kA|kA"", ""length"": 5}",R3{r}fR4{l},3,2,2,1032,8
76,blocked-wormhole,"{""fields"": ""bA|bA|bA|b|bA;kA|kW|kA|k|kA;kA|kM|kA|k|kA;kA|kM|kA|k|kA;kA|kM|kA|kW|kA;kA|k|kA|kA|kA;kA|k|kA|kA|kA;kA|k|kA|kA|kA;kA|k|kA|kA|kA;kA|kS|kA|kA|kA"", ""energy"": 3, ""length"": 4}",R3{s}R9{f},3,2,3,1032,8
84,triangle,"{""fields"": ""bX|b|b|b|b;k|kD|k|k|k;k|kD|kD|k|k;k|kD|k|kD|k;k|kD|k|k|kD;k|kD|k|kD|k;k|kD|kD|k|k;k|kD|k|k|k;kS|kX|k|k|k"", ""length"": 6}",R4{r}R4{l}R8{f},3,2,4,1032,8
13,n,"{""fields"": ""b|b|b|b|b;kWD|k|k|k|kD;kD|kXD|k|k|kD;kD|k|kD|k|kD;kD|k|k|kD|kXD;kS|k|k|k|kWD"", ""length"": 6}",R4{f}R3{l}R4{f},3,2,5,1032,8
21,steal-the-nose,"{""fields"": ""b|b|b|b|b;k|kW|k|kW|k;k|k|k|k|k;k|k|yD|k|k;rA|k|k|k|rA;k|rA|rA|rA|k;kS|k|k|k|k"", ""length"": 4}",fR4{r}f,3,3,1,1033,9
46,find-the-path,"{""fields"": ""b|bA|b|bA|b;kM|kM|kA|k|kM;kM|k|kA|k|kM;k|kA|k|kA|k;kA|kM|kM|kA|kA;k|k|kM|k|k;k|kA|k|kA|k;kM|kM|kM|k|kM;kA|k|kA|kM|kA;k|k|kS|k|k"", ""length"": 4}",R3{lsr},3,3,2,1033,9
57,stairs,"{""fields"": ""b|b|b|b|b;k|k|k|k|kD;k|k|k|k|kD;k|k|k|kD|k;k|k|k|kD|k;k|k|kD|k|k;k|k|kD|k|k;k|kD|k|k|k;k|kD|k|k|k;kD|k|k|k|k;kD|k|k|k|k;kS|k|k|k|k"", ""length"": 6}",fR4{fr}R2{f},3,3,3,1033,9
18,clean-your-path,"{""fields"": ""b|b|b|b|b|b|b;kW|kM|kA|k|k|k|k;k|k|kM|kA|k|k|k;k|k|k|kM|kA|k|k;k|k|k|k|kM|kA|k;k|k|k|k|k|kM|kA;k|k|k|k|k|k|kD;k|k|k|k|k|k|kW;k|k|k|k|k|k|k;k|k|k|k|k|k|k;k|k|k|k|k|k|k;k|k|k|k|k|kS|k"", ""length"": 7}",R5{sl}fR6{l},3,3,4,1033,9
3,zig-zag,"{""fields"": ""b|b|b|b|b;kA|k|kA|k|kA;k|kA|k|kA|k;kA|k|kA|k|kA;k|kA|k|kA|k;kA|k|kA|k|kA;k|kA|k|kA|k;kA|k|kA|k|kA;k|k|kS|k|k"", ""length"": 3}",W!b{rl},4,1,1,1041,10
53,direct-flight-ahead,"{""fields"": ""b|b|b|bD|b;k|kW|k|k|k;k|k|k|kD|k;k|kD|k|k|k;k|k|k|kD|k;k|kD|k|k|k;k|k|k|kD|k;k|kD|k|k|k;k|k|k|kD|k;k|kS|k|kW|k"", ""length"": 2}",W!b{f},4,1,2,1041,10
17,yellow-is-not-red,"{""fields"": ""b|b|b|b|b;k|k|k|kD|k;k|k|k|y|k;k|k|kD|k|k;k|kD|k|k|k;kD|k|k|k|k;k|r|k|k|k;k|k|r|k|k;k|k|k|r|k;k|k|k|k|rS"", ""length"": 6}",Wr{l}W!y{r}ff,4,2,1,1042,11
41,yellow-hint,"{""fields"": ""b|b|b|b|b;k|k|k|kD|k;k|k|k|kD|k;k|k|k|kD|k;k|k|k|kD|k;k|k|yD|k|k;k|yD|k|k|k;yS|k|k|k|k"", ""length"": 4}",Wy{r}W!b{f},4,2,2,1042,11
73,stop-on-red,"{""fields"": ""b|b|b|b|b;k|k|k|k|k;k|k|k|k|k;k|k|k|k|k;kA|kA|kM|kA|kA;k|k|rD|k|k;k|k|k|k|k;k|k|k|k|k;k|k|k|k|k;k|k|kS|k|k"", ""energy"": 1, ""length"": 5}",W!r{f}sW!b{f},4,2,3,1042,11
38,direction-change,"{""fields"": ""b|b|b|b|b;k|k|k|k|k;kA|kA|k|kA|kA;k|k|k|k|k;kA|kA|kA|kA|y;k|k|k|k|k;k|k|k|k|k;k|k|k|k|k;k|k|k|k|k;k|k|k|k|k;k|k|k|k|kS"", ""length"": 4}",W!y{f}W!b{l},4,2,4,1042,11
69,diamond-in-house,"{""fields"": ""b|b|bA|b|b;k|kA|y|kA|k;kA|y|y|y|kA;y|yA|yA|yA|y;k|kA|kX|kA|k;kW|kA|kD|kA|kX;k|kA|kW|kA|k;k|kA|kA|kA|k;g|g|g|g|g;g|g|g|g|g;g|g|g|gS|g""}",Wg{l}W!y{f}W!b{l},4,3,1,1043,12
56,diamond-cross,"{""fields"": ""b|b|b|b|b;kW|k|k|k|k;k|kD|k|kD|k;k|k|kD|k|k;k|kD|k|kD|k;kW|k|k|k|kS"", ""length"": 5}",R4{l}R4{r}f,5,1,1,1051,13
68,stripes,"{""fields"": ""b|bW|b|bX|b|b;k|kD|k|kD|k|kD;k|kD|k|kD|k|kD;k|kD|k|kD|k|kD;k|kD|k|kD|k|kD;k|kD|k|kD|k|kD;kS|k|kW|k|kX|k"", ""length"": 4}",R3{rR5{f}},5,1,2,1051,13
37,big-slalom,"{""fields"": ""bD|b|b|b;k|kD|k|k;k|k|kD|k;k|k|k|kD;k|k|kD|k;k|kD|k|k;kD|k|k|k;k|kD|k|k;k|k|kD|k;k|k|k|kD;k|k|kD|k;k|kD|k|k;kS|k|k|k"", ""length"": 5}",R2{R3{r}R3{l}},5,1,3,1051,13
50,double-bend,"{""fields"": ""b|b|b|b|bD;k|k|k|kD|kW;k|k|kD|kD|k;k|kD|kD|k|k;kD|kD|k|k|k;kD|kD|k|k|k;k|kD|kD|k|k;k|k|kD|kD|k;k|k|k|kD|kW;k|k|k|k|kS"", ""length"": 5}",R2{R4{l}R4{r}},5,1,4,1051,13
58,collect-diamonds,"{""fields"": ""b|b|b|b|b;k|k|k|k|kD;k|k|k|k|kD;k|k|k|k|kD;k|k|k|k|k;kA|kA|k|kA|kA;k|k|k|k|k;k|k|k|k|k;kD|k|k|k|k;kD|k|k|k|k;kD|k|k|k|k;k|k|k|k|k;k|k|kS|k|k"", ""length"": 8}",llR3{f}R4{r}R3{f},5,2,1,1052,14
55,color-slalom,"{""fields"": ""b|b|b|b|b;k|rD|k|k|k;k|k|k|k|k;k|k|k|k|k;k|k|k|k|yD;k|k|k|k|k;k|k|k|k|k;k|rD|k|k|k;k|k|k|k|k;k|k|k|yD|k;k|k|k|k|k;k|k|k|k|k;kS|k|k|k|k"", ""length"": 6}",R2{W!y{r}W!r{l}}f,5,2,2,1052,14
52,zig-zag-plus,"{""fields"": ""b|b|b|b|b;kA|k|kA|k|kA;k|kA|k|kA|k;kA|k|kA|k|kA;k|kA|kM|kA|k;kA|k|kA|k|kA;kM|kA|k|kA|kM;kA|k|kA|k|kA;k|kA|k|kA|k;kA|k|kA|k|kA;k|kA|k|kA|k;kA|k|kA|k|kA;k|k|kS|k|k"", ""length"": 8}",R2{r}R3{l}R3{r}R4{l},5,2,3,1052,14
72,four-vs,"{""fields"": ""b|b|b|b|b;k|kY|kD|k|k;k|kX|kD|kD|k;k|kW|kD|kD|kD;k|k|gD|kD|kD;k|k|kD|gD|kD;k|kY|kD|kD|gD;k|kX|kD|gD|k;k|kW|gD|k|k;k|kS|k|k|k"", ""length"": 5}",R4{R3{r}R3{l}},5,2,4,1052,14
63,rectangle,"{""fields"": ""b|bY|bX|b|b;k|kM|kM|kM|k;k|kD|kD|kD|k;k|kD|kD|kD|k;k|kD|kD|kD|k;k|kD|kD|kD|k;k|kD|kD|kD|k;k|kS|kY|kX|k"", ""energy"": 3, ""length"": 5}",R3{R5{f}sf},5,2,5,1052,14
47,arrow,"{""fields"": ""b|b|b|b|b;kD|k|k|k|k;k|kM|k|k|k;k|k|kD|k|k;k|k|k|kD|k;kW|k|kA|kA|kM;k|k|k|kD|k;k|k|kD|k|k;k|kD|k|k|k;kD|k|k|k|k;k|k|k|k|k;kW|k|k|k|kS"", ""energy"": 2}",sR3{l}slR2{f}R4{r}R4{l}f,5,3,1,1053,15
32,double-track,"{""fields"": ""b|b|b|b|b|b;kW|kD|k|k|k|k;kD|kD|k|k|k|k;k|kD|kD|k|k|k;k|k|kD|kD|k|k;k|k|kD|kD|k|k;k|k|kD|kD|k|k;k|k|kD|kD|k|k;k|k|k|kD|kD|k;k|k|k|k|kD|kD;k|k|k|k|kD|kD;k|k|k|k|kD|kD;k|k|k|k|kS|kW"", ""length"": 8}",R2{R2{R3{f}R2{l}}f}f,5,3,2,1053,15
27,on-yellow-to-left,"{""fields"": ""b|b|b|b|b;k|kA|kA|kA|kA;kA|y|k|k|k;k|k|k|k|k;k|k|k|k|k;k|k|kA|kA|kA;kA|kA|y|k|k;k|k|k|k|k;k|k|kS|k|k"", ""length"": 4}",W!b{fIy{l}},6,1,1,1061,16
