id,name,setting,solution,level1,level2,order,problemset,ps_order
5,diamonds-with-signals,"{""fields"": ""b|b|b|b|bA;k|k|k|kD|kA;k|k|y|k|kA;k|k|k|kA|kA;k|k|k|kD|kA;k|k|y|k|kA;k|k|k|k|kA;k|k|k|kA|kA;k|k|k|k|kA;k|k|k|kD|kA;k|k|y|k|kA;k|k|kS|k|kA"", ""length"": 5}",W!b{fIy{rl}},6,1,2,1061,16
34,follow-colors,"{""fields"": ""b|b|b|b|b;kA|kA|k|k|k;k|y|kA|kA|k;k|k|r|kA|kA;kA|kA|kA|r|k;k|k|y|k|k;k|k|kS|k|k"", ""length"": 7}",W!b{Ik{f}Iy{r}Ir{l}},6,1,3,1061,16
59,two-diamonds,"{""fields"": ""b|b|b|b;kA|kA|k|kA;kW|k|k|k;k|k|k|k;kD|k|kD|k;kM|y|kM|y;k|k|k|k;k|k|k|k;k|k|k|kW;k|k|k|k;k|kS|k|k"", ""length"": 4}",W!b{fIy{l}},6,2,1,1062,17
60,red-shooting,"{""fields"": ""b|b|b|b|b|b;kA|kA|kA|kA|kA|kM;k|k|kW|k|k|k;k|y|k|k|k|r;kM|kM|kA|k|y|k;k|k|kA|k|k|k;k|r|kA|y|k|k;y|k|kA|k|k|k;kS|k|k|kW|k|k"", ""energy"": 2, ""length"": 6}",W!b{Iy{r}Ir{s}f},6,2,2,1062,17
78,yellow-squares,"{""fields"": ""b|b|b|b|b;k|k|yM|yM|k;k|k|yM|yD|k;k|kW|k|k|k;yM|yM|k|yM|yM;yM|yD|k|yD|yM;k|k|k|kW|k;k|yM|yM|k|k;k|yD|yM|k|k;k|k|k|k|k;k|kS|k|k|k"", ""energy"": 4, ""length"": 4}",W!b{fIy{s}},6,2,3,1062,17
81,belgian-flag,"{""fields"": ""b|b|b|b|b|b;kY|kA|kW|kA|kA|k;kD|k|y|yD|rD|r;kD|k|yD|y|r|rD;kD|k|y|yD|rD|r;kD|k|yD|y|r|rD;kW|kA|k|kA|kA|kY;k|k|kS|k|k|k"", ""length"": 9}",W!b{Ik{f}Iy{rl}Ir{lr}},6,3,1,1063,18
85,chessboard,"{""fields"": ""bY|b|b|b|b;kD|k|kD|k|k;kX|kD|k|kD|k;kD|k|kD|k|kY;kW|kD|k|kD|k;kD|k|kD|k|kX;k|kD|k|kD|k;k|k|kS|k|kW"", ""length"": 4}",W!b{lIx=1{f}},7,1,1,1071,19
48,edge-to-edge,"{""fields"": ""b|b|b|b|b;k|kD|k|k|k;k|k|kD|k|k;k|k|k|kD|k;k|k|k|k|kD;k|k|k|kD|k;k|kW|kD|k|k;k|kD|kD|k|k;kD|k|k|kD|k;k|kD|k|k|kD;k|k|kD|kD|k;k|k|kD|kW|k;k|kS|k|k|k"", ""length"": 5}",W!b{Wx<5{r}Wx>1{l}},7,1,2,1071,19
7,meteoroids-and-wormholes,"{""fields"": ""b|b|b|b|b;k|k|k|kA|kM;k|k|k|k|kD;k|k|k|k|kY;k|k|kY|kA|kM;k|k|k|k|kD;k|k|k|k|kX;k|k|k|kA|kM;k|kX|k|k|kD;k|k|k|k|kW;k|k|k|kA|kM;k|k|k|k|kD;kW|k|k|k|k;k|k|kS|k|k"", ""length"": 5}",W!b{Wx<5{r}sf},7,1,3,1071,19
83,maneuvers-on-left,"{""fields"": ""bM|bM|b|b|b;kM|kZ|k|k|k;kM|kM|k|k|k;kM|kD|k|k|k;kX|kY|kW|kY|kZ;kM|kM|k|k|k;kD|kM|k|k|k;kW|kM|k|k|k;kM|kM|kS|kX|k"", ""length"": 6}",W!b{fIx<=2{fsf}},7,1,4,1071,19
82,free-column,"{""fields"": ""bA|bA|bA|b|bA;kA|kW|kA|kM|kA;kA|k|kA|kZ|kA;kA|k|kA|kA|kX;kA|k|kA|kA|kM;kZ|kX|kY|kA|k;kM|kA|kM|kA|kM;k|kA|k|kA|k;kM|kA|kM|kA|kM;kW|kA|kS|kA|kY"", ""energy"": 8, ""length"": 4}",W!b{Ix!=2{s}f},7,2,1,1072,20
9,diamond-lines,"{""fields"": ""b|b|b|b|bD;k|k|k|kD|k;k|k|kD|k|k;k|k|kD|k|k;k|kD|k|k|k;kW|k|k|k|kW;k|k|k|kD|k;k|k|kD|k|k;k|k|kD|k|k;k|kD|k|k|k;kS|k|k|k|k"", ""length"": 4}",W!b{Ix=3{f}r},7,2,2,1072,20
65,letter-h,"{""fields"": ""b|b|b|b|b;kY|k|k|k|kD;kM|k|k|k|kD;kM|k|k|k|kD;kX|k|k|k|kY;kM|kM|kM|kM|kM;kW|k|k|k|kX;kM|k|k|k|kD;kM|k|k|k|kD;kS|k|k|k|kW"", ""energy"": 4, ""length"": 5}",W!b{Ix=1{ss}f},7,2,3,1072,20
64,wave,"{""fields"": ""b|bD|b|b|b;k|yD|k|k|k;k|k|yD|k|k;k|k|k|yD|k;k|k|k|yD|k;k|k|yD|k|k;k|yD|k|k|k;k|yD|k|k|k;k|k|yD|k|k;k|k|k|yD|k;k|k|k|yD|k;k|k|yS|k|k"", ""length"": 7}",R2{Wx<4{r}fWx>2{l}f},7,3,1,1073,21
28,slalom-position-testing,"{""fields"": ""b|bD|b|b|b;kD|k|k|k|k;k|kD|k|k|k;kD|k|k|k|k;k|kD|k|k|k;k|k|kD|k|k;k|kD|k|k|k;k|k|kD|k|k;k|k|k|kS|k"", ""length"": 5}",W!b{lIx>1{l}r},7,3,2,1073,21
80,letter-e,"{""fields"": ""b|b|b|b|b;kD|k|k|k|k;kY|kD|k|k|k;kD|k|kD|k|k;kD|k|k|kY|k;kZ|kD|k|k|k;kD|k|kD|k|k;kD|k|k|kZ|k;k|kD|k|k|k;k|k|kD|k|k;k|k|k|kS|k"", ""length"": 4}",W!b{Ix=1{f}/{l}},8,1,1,1081,22
24,narrow-passage,"{""fields"": ""b|b|b|b|b;kA|kA|kA|kA|k;k|k|k|k|k;k|k|k|k|k;k|k|k|k|k;kA|kA|kA|kA|k;k|k|k|k|kW;k|k|k|k|k;k|kW|k|k|k;kA|kA|kA|kA|k;k|k|k|k|k;k|k|k|k|k;k|k|k|k|k;kS|k|k|k|k"", ""length"": 4}",W!b{Ix<5{r}/{f}},8,1,2,1081,22
29,color-navigation,"{""fields"": ""b|b|b|b|b;kD|k|k|kW|k;k|yD|k|kD|k;k|kD|k|kD|k;rD|k|k|k|yD;k|yD|k|rD|k;k|kD|k|kD|k;k|kD|rD|k|k;rD|k|kD|k|k;kD|k|kD|k|k;kW|k|kS|k|k"", ""length"": 6}",W!b{Ik{f}/{Iy{l}/{r}}},8,1,3,1081,22
75,bouncing-from-edge,"{""fields"": ""b|b|bD|b|b;k|k|k|kD|k;k|k|k|k|kD;k|k|k|kD|k;k|k|k|k|kD;k|k|k|kD|k;k|k|k|k|kD;k|k|k|kD|k;k|k|kD|k|k;k|kS|k|k|k"", ""length"": 5}",R8{Ix=5{l}/{r}}l,8,2,1,1082,23
16,diamonds-on-yellow,"{""fields"": ""b|b|b|b|b;k|yD|k|k|k;k|k|yD|k|k;k|k|k|k|k;k|k|k|k|k;k|yD|k|k|k;k|k|yD|k|k;k|k|k|yD|k;k|k|k|k|k;k|k|k|k|k;k|k|yD|k|k;k|k|k|yS|k"", ""length"": 4}",W!b{Iy{l}/{r}},8,2,2,1082,23
22,triple-steps,"{""fields"": ""b|b|b|b|b|b;k|k|k|kD|k|k;k|k|kD|k|k|k;k|yD|k|k|k|k;k|k|kD|k|k|kX;k|k|k|kD|kD|k;k|k|k|kD|kX|k;kW|k|yD|k|k|k;k|kD|k|kD|k|k;k|k|kD|k|kD|k;k|k|k|kS|k|kW"", ""length"": 6}",R5{I!y{R3{l}}/{R3{r}}},8,2,3,1082,23
43,colorful-flowers,"{""fields"": ""b|b|b|b|b|b;k|kW|k|k|k|k;k|yD|k|k|k|k;rD|k|r|k|k|k;k|gD|k|k|yD|k;k|k|k|g|k|gD;k|yD|k|k|rD|k;rD|k|y|k|k|k;k|gD|k|k|kW|k;k|kS|k|k|k|k"", ""length"": 6}",W!b{Ir{r}/{Ig{l}/{f}}},8,3,1,1083,24
20,five-diamonds,"{""fields"": ""b|b|b|b|b;k|kX|kD|k|k;kW|yD|yD|k|k;yD|k|kD|k|k;k|k|k|k|kX;k|k|k|k|kW;k|k|k|k|k;k|k|k|k|kS"", ""length"": 5}",R3{W!y{l}f}f,9,1,1,1091,25
61,mirror,"{""fields"": ""b|b|b|b|b|b|b;k|k|kW|kA|kD|k|k;k|k|k|kA|k|k|k;k|rD|k|kA|k|rD|k;k|k|y|kA|y|k|k;k|rD|k|kA|k|rD|k;k|k|k|kA|k|k|k;rD|k|k|kA|k|k|rD;k|y|k|kA|k|y|k;rD|k|k|kA|k|k|rD;k|y|k|kA|k|y|k;k|k|y|kA|y|k|k;k|k|kS|kA|kW|k|k"", ""length"": 13}",W!b{Iy{Ix<4{l}/{r}}Ir{Ix<4{r}/{l}}Ik{f}},9,1,2,1091,25
40,plan-your-shooting,"{""fields"": ""bA|bW|bA|bM|bA;kA|kD|kA|kD|kA;kA|kM|kA|kM|kA;kA|kM|kA|kM|kA;k|k|k|k|k;k|k|k|k|k;k|k|k|k|k;k|k|k|k|k;k|k|k|k|k;k|k|k|k|k;k|kS|k|kW|k"", ""energy"": 5, ""length"": 5}",R5{R3{f}s},9,1,3,1091,25
45,diagonal-lines,"{""fields"": ""b|b|bD|b|b;k|k|k|k|k;rD|k|k|k|k;k|y|k|k|k;k|k|y|k|k;k|k|k|y|k;k|k|k|k|rD;k|k|k|k|k;k|k|k|k|k;k|rD|k|k|k;k|k|y|k|k;k|k|k|rD|k;k|k|k|k|k;k|kS|k|k|k"", ""length"": 9}",W!b{Ik{rIr{l}}Iy{lIr{r}}},9,1,4,1091,25
15,wormhole-cloud,"{""fields"": ""bA|bA|bA|b|bA;kA|kM|kA|kZ|kA;kM|kX|kM|kX|kM;kM|kZ|kX|kY|kM;kA|kM|kY|kW|kX;kM|kW|kM|kX|kM;kA|kM|kS|kM|kA"", ""length"": 3}",R2{lf},9,1,5,1091,25
30,edge-wormholes,"{""fields"": ""b|b|b|b|b|b;k|kD|k|k|k|kZ;kX|k|kD|k|kD|k;kY|kD|k|kD|k|k;k|kD|kD|k|kD|kW;k|kD|kD|kD|kD|kZ;kY|k|k|kD|kD|k;k|k|kD|k|kD|kW;k|kD|k|k|k|kX;kS|k|k|k|k|k"", ""length"": 6}",R5{Ix=1{R5{r}}/{R5{l}}},9,1,6,1091,25
42,two-color-tracks,"{""fields"": ""b|b|b|b|b|b;k|kW|k|k|y|k;kD|k|k|k|k|kD;k|y|k|k|r|k;k|y|k|k|y|k;k|k|kD|k|k|kD;k|r|k|k|r|k;k|y|k|k|y|k;k|k|kD|kD|k|k;k|r|k|k|y|k;k|y|k|k|y|k;kD|k|k|kD|k|k;k|y|k|k|y|k;k|y|k|k|y|k;k|kS|k|k|kW|k"", ""length"": 10}",R2{fR4{fIy{lr}/{rl}}}f,9,2,1,1092,26
33,diamond-ring,"{""fields"": ""b|b|b|b|b|b;kW|k|k|k|k|k;k|k|k|k|k|k;k|k|k|k|k|k;k|k|k|k|k|k;k|k|k|k|k|k;k|k|k|k|k|k;k|k|kD|kD|k|k;k|kD|k|k|kD|k;kD|k|k|k|k|kD;k|kD|k|k|kD|k;k|k|kD|kD|k|k;k|k|k|k|k|k;k|k|k|k|k|k;k|k|k|k|k|k;k|k|kS|kW|k|k"", ""length"": 6}",R7{R2{l}R2{r}}f,9,2,2,1092,26
36,cross-2,"{""fields"": ""b|b|b|b|b;kD|k|k|k|kW;k|kA|kA|kA|k;k|kD|k|kD|k;k|k|k|k|k;k|k|kD|k|k;k|k|k|k|k;k|kD|k|kD|k;k|kA|kA|kA|k;kS|k|k|k|kW"", ""length"": 11}",R5{Ix!=4{f}Ix!=5{r}}R5{Ix!=2{f}Ix!=1{l}}f,9,2,3,1092,26
54,diagonal-diamonds,"{""fields"": ""b|b|b|b|b|b;k|k|k|yD|k|k;k|k|k|kW|yD|k;k|k|yD|k|k|yD;k|yD|k|k|k|k;yD|k|k|k|k|k;kS|k|k|k|k|kW"", ""length"": 6}",W!b{Iy{Ix<4{r}/{l}}/{f}},9,2,4,1092,26
35,six-diamonds,"{""fields"": ""b|b|b|b;k|k|kW|k;k|kD|kD|k;k|kD|kD|k;k|kD|kD|k;kS|k|k|kW"", ""length"": 4}",W!b{Ix<3{r}/{l}},9,2,5,1092,26
4,triple-slalom,"{""fields"": ""b|b|b|b|b|b;kW|k|k|k|k|k;rD|k|k|k|rD|k;k|yD|k|kX|k|yD;yD|k|k|rD|yD|k;k|yD|k|k|yD|yD;yD|k|k|yD|yD|k;k|yD|k|k|yD|yD;kS|k|k|kW|kX|k"", ""length"": 6}",R3{W!r{rl}f}f,9,3,1,1093,27
74,turning-in-square,"{""fields"": ""b|b|b|b|b;kW|k|k|k|kX;k|k|k|k|k;k|gD|gD|gD|k;k|yD|yD|yD|k;k|gD|gD|gD|k;k|k|k|k|k;k|k|k|k|k;k|kW|kS|kX|k"", ""length"": 10}",W!b{fIy{Ix=3{ll}Ix=2{R3{r}}}},9,3,2,1093,27
77,letter-d,"{""fields"": ""b|b|b|b|b|b;y|yY|yD|rZ|r|r;y|yD|y|r|rD|r;y|yD|y|r|rD|r;y|yD|y|r|r|rD;r|rD|r|y|y|yD;r|rD|r|y|yD|y;r|rD|r|y|yD|y;r|rD|rZ|yY|y|y;k|kS|k|k|k|k"", ""length"": 6}",W!b{fIx>3{Iy{r}/{l}}},9,3,3,1093,27
39,meteoroids-on-left,"{""fields"": ""b|b|b|b|b;kW|k|k|k|k;kM|kM|kA|kA|kA;k|k|k|k|k;k|k|kD|kD|k;k|k|k|k|k;k|k|k|k|k;k|k|k|k|k;k|k|k|k|k;k|k|kS|kW|k"", ""energy"": 2, ""length"": 10}",R2{R2{l}sR2{r}R2{l}f}f,9,3,4,1093,27
62,two-bit-instructions,"{""fields"": ""b|b|b|b|b|b;kA|kW|kA|kA|kM|kA;kA|kD|kA|kA|kM|kA;k|k|yD|k|r|k;k|k|y|k|k|yD;k|k|k|k|k|y;k|rD|k|k|k|k;k|y|k|k|r|k;k|k|k|k|y|k;rD|k|k|k|k|k;y|k|k|k|r|k;kS|k|k|k|kW|k"", ""energy"": 2, ""length"": 10}",W!b{Iy{fIy{l}/{r}}/{Ir{s}/{f}}},9,3,5,1093,27
